StudentID,Cryogenic Physics,Evolutionary Dynamics,Dark Energy,Stellar Chemistry,Sublight Propulsion Systems,Transdimensional Navigation,Neural Computation,Plasma Physics,Crystalline Geology,Pulsar Spectroscopy,Propulsion Systems,Radiation Shielding,Atmospheric Chemistry,Warp Field Theory,Plasmawave Analysis,Exoplanet Climatology,Astrology,Magnetosphere Modeling,Graviton Dynamics,Xyloprax Computation,Mineral Extraction,Synthetic Atmospheres,Quantum Fluids,Nanostructures Fabrication,Photonic Computing,Orbital Mechanics,Neutrino Engineering,Astrogeophysics,Genomic Engineering,Particle Isolation,Nuclear Synthesis,Xenorobotics Systems,Cartographic Topologies,Exotic Matter,Plasma Containment,Bioluminal Signals
0,8.0,9.0,9.0,10.0,9.0,10.0,8.0,9.0,8.0,9.0,9.0,9.0,8.0,9.0,8.0,8.0,8.0,9.0,10.0,9.0,9.0,9.0,10.0,9.0,8.0,10.0,8.0,8.0,9.0,10.0,8.0,10.0,10.0,8.0,8.0,7.0
1,9.0,7.0,10.0,10.0,10.0,9.0,9.0,9.0,8.0,10.0,10.0,8.0,9.0,9.0,8.0,9.0,8.0,7.0,9.0,9.0,9.0,9.0,8.0,8.0,8.0,9.0,10.0,7.0,8.0,8.0,8.0,7.0,8.0,9.0,8.0,9.0
2,6.0,6.0,6.0,9.0,6.0,8.0,6.0,6.0,7.0,6.0,6.0,7.0,7.0,6.0,7.0,7.0,6.0,7.0,8.0,7.0,6.0,7.0,7.0,7.0,6.0,7.0,6.0,7.0,6.0,7.0,6.0,7.0,6.0,7.0,6.0,8.0
3,8.0,7.0,8.0,10.0,8.0,8.0,8.0,9.0,9.0,8.0,8.0,8.0,9.0,8.0,8.0,9.0,6.0,7.0,9.0,7.0,7.0,9.0,9.0,8.0,9.0,10.0,9.0,7.0,8.0,9.0,8.0,7.0,8.0,9.0,8.0,9.0
4,7.0,6.0,7.0,9.0,7.0,7.0,7.0,7.0,7.0,7.0,8.0,7.0,7.0,6.0,6.0,6.0,6.0,6.0,8.0,7.0,8.0,8.0,7.0,6.0,6.0,8.0,8.0,6.0,6.0,6.0,6.0,7.0,6.0,7.0,6.0,6.0
5,7.0,8.0,9.0,8.0,10.0,8.0,8.0,7.0,6.0,8.0,8.0,9.0,6.0,10.0,8.0,9.0,8.0,8.0,8.0,10.0,8.0,9.0,6.0,9.0,8.0,8.0,9.0,8.0,7.0,8.0,7.0,7.0,9.0,9.0,8.0,8.0
6,6.0,6.0,7.0,8.0,8.0,7.0,7.0,7.0,6.0,8.0,8.0,6.0,6.0,7.0,6.0,7.0,6.0,6.0,7.0,7.0,7.0,7.0,6.0,7.0,7.0,8.0,8.0,6.0,6.0,7.0,6.0,6.0,6.0,7.0,6.0,7.0
7,8.0,7.0,8.0,6.0,8.0,8.0,9.0,8.0,8.0,6.0,6.0,8.0,8.0,8.0,8.0,8.0,7.0,8.0,6.0,8.0,7.0,8.0,6.0,7.0,6.0,6.0,9.0,7.0,7.0,8.0,6.0,6.0,6.0,8.0,7.0,8.0
8,8.0,8.0,7.0,9.0,10.0,9.0,6.0,8.0,7.0,6.0,6.0,7.0,8.0,9.0,8.0,8.0,6.0,8.0,9.0,8.0,7.0,9.0,7.0,8.0,8.0,8.0,8.0,8.0,8.0,10.0,6.0,7.0,8.0,7.0,7.0,8.0
9,8.0,7.0,8.0,10.0,10.0,8.0,8.0,8.0,8.0,8.0,9.0,8.0,8.0,8.0,9.0,9.0,7.0,7.0,8.0,8.0,7.0,9.0,7.0,8.0,9.0,10.0,10.0,8.0,8.0,9.0,7.0,7.0,8.0,9.0,8.0,9.0
