StudentID,Cryogenic Physics,Evolutionary Dynamics,Dark Energy,Stellar Chemistry,Sublight Propulsion Systems,Transdimensional Navigation,Neural Computation,Plasma Physics,Crystalline Geology,Pulsar Spectroscopy,Propulsion Systems,Radiation Shielding,Atmospheric Chemistry,Warp Field Theory,Plasmawave Analysis,Exoplanet Climatology,Astrology,Magnetosphere Modeling,Graviton Dynamics,Xyloprax Computation,Mineral Extraction,Synthetic Atmospheres,Quantum Fluids,Nanostructures Fabrication,Photonic Computing,Orbital Mechanics,Neutrino Engineering,Astrogeophysics,Genomic Engineering,Particle Isolation,Nuclear Synthesis,Xenorobotics Systems,Cartographic Topologies,Exotic Matter,Plasma Containment,Bioluminal Signals
312804,6,6,6,6,7,6,7,6,6,7,7,6,NG,7,6,6,6,6,6,7,6,6,6,6,NG,6,8,NG,6,5,6,6,NG,8,6,6
311913,NG,NG,7,8,NG,NG,NG,7,7,5,NG,6,NG,8,5,6,5,NG,9,6,NG,NG,6,NG,NG,8,7,NG,7,NG,NG,6,NG,5,NG,NG
311635,NG,NG,7,9,NG,NG,NG,7,8,7,NG,7,NG,8,6,5,6,8,10,7,NG,NG,7,NG,NG,7,6,NG,8,NG,6,7,NG,6,NG,NG
312932,6,8,8,7,8,7,8,7,6,9,8,8,NG,8,6,6,8,8,9,9,9,7,7,7,NG,7,7,NG,7,7,7,8,NG,8,7,5
312929,6,6,6,6,8,6,7,7,6,7,7,7,NG,7,8,8,6,6,6,7,6,7,6,7,NG,7,7,NG,6,7,6,6,NG,8,6,6
310652,NG,NG,NG,NG,NG,NG,NG,8,NG,9,NG,NG,NG,NG,9,NG,NG,NG,6,8,NG,NG,8,NG,NG,NG,NG,NG,7,NG,NG,7,NG,NG,NG,NG
311334,NG,NG,NG,NG,NG,NG,NG,5,NG,NG,NG,NG,NG,NG,3,NG,NG,NG,7,6,NG,NG,NG,NG,NG,NG,NG,NG,5,NG,NG,4,NG,NG,NG,NG
312229,NG,NG,6,8,NG,NG,NG,6,7,5,NG,6,NG,7,5,5,4,NG,8,5,NG,NG,6,NG,NG,6,5,NG,6,NG,NG,7,NG,4,NG,NG
312260,NG,NG,5,7,NG,NG,NG,6,NG,5,NG,5,NG,6,6,7,4,6,6,5,NG,NG,NG,NG,NG,7,7,NG,5,NG,5,5,NG,6,NG,NG
310457,NG,NG,NG,NG,NG,NG,NG,6,NG,5,NG,NG,NG,NG,7,NG,NG,NG,7,6,NG,NG,6,NG,NG,NG,NG,NG,5,NG,NG,6,NG,NG,NG,NG
310772,NG,NG,NG,NG,NG,NG,NG,8,NG,8,NG,NG,NG,NG,6,NG,NG,NG,10,8,NG,NG,6,NG,NG,NG,NG,NG,8,NG,NG,8,NG,NG,NG,NG
312694,NG,NG,7,8,NG,NG,NG,7,7,6,NG,6,NG,7,5,6,6,6,8,6,NG,NG,6,NG,NG,7,7,NG,6,NG,NG,6,NG,6,NG,NG
311768,NG,NG,7,6,NG,NG,NG,5,NG,NG,NG,5,NG,7,4,NG,5,NG,7,7,NG,NG,NG,NG,NG,5,NG,NG,6,NG,NG,5,NG,4,NG,NG
311332,NG,NG,NG,NG,NG,NG,NG,6,NG,4,NG,NG,NG,NG,6,NG,NG,NG,7,7,NG,NG,NG,NG,NG,NG,NG,NG,6,NG,NG,4,NG,NG,NG,NG
311786,NG,NG,5,6,NG,NG,NG,5,5,NG,NG,6,NG,6,5,5,5,NG,8,5,NG,NG,6,NG,NG,6,NG,NG,5,NG,NG,7,NG,4,NG,NG
312415,NG,NG,5,6,NG,NG,NG,5,5,NG,NG,7,NG,7,7,7,5,6,7,7,NG,NG,7,NG,NG,7,NG,NG,6,NG,6,7,NG,7,NG,NG
311664,NG,NG,8,8,NG,NG,NG,7,7,8,NG,7,NG,7,6,6,6,6,6,7,NG,NG,6,NG,NG,7,8,NG,6,NG,6,6,NG,7,NG,NG
313173,8,8,8,10,9,9,7,8,8,8,7,8,NG,9,6,7,7,8,10,9,8,10,7,7,NG,7,7,NG,8,9,7,8,NG,7,6,7
313339,7,6,8,9,8,7,8,7,7,8,8,8,NG,8,6,7,6,7,8,8,7,7,6,7,NG,7,8,NG,7,7,7,6,NG,8,6,7
312510,NG,NG,5,7,NG,NG,NG,5,5,NG,NG,4,NG,6,5,5,3,NG,7,4,NG,NG,6,NG,NG,6,NG,NG,5,NG,NG,6,NG,4,NG,NG
312574,NG,NG,7,8,NG,NG,NG,7,7,8,NG,7,NG,7,7,7,6,6,7,7,NG,NG,7,NG,NG,7,8,NG,6,NG,6,7,NG,7,NG,NG
312269,NG,NG,8,8,NG,NG,NG,7,7,8,NG,6,NG,7,6,7,5,5,6,7,NG,NG,6,NG,NG,8,9,NG,7,NG,6,6,NG,8,NG,NG
311252,NG,NG,NG,NG,NG,NG,NG,7,NG,8,NG,NG,NG,NG,7,NG,NG,NG,8,8,NG,NG,7,NG,NG,NG,NG,NG,7,NG,NG,6,NG,NG,NG,NG
310901,NG,NG,NG,NG,NG,NG,NG,5,NG,NG,NG,NG,NG,NG,6,NG,NG,NG,6,4,NG,NG,NG,NG,NG,NG,NG,NG,4,NG,NG,5,NG,NG,NG,NG
311132,NG,NG,NG,NG,NG,NG,NG,7,NG,9,NG,NG,NG,NG,9,NG,NG,NG,7,7,NG,NG,8,NG,NG,NG,NG,NG,6,NG,NG,7,NG,NG,NG,NG
