StudentID,Cryogenic Physics,Evolutionary Dynamics,Dark Energy,Stellar Chemistry,Sublight Propulsion Systems,Transdimensional Navigation,Neural Computation,Plasma Physics,Crystalline Geology,Pulsar Spectroscopy,Propulsion Systems,Radiation Shielding,Atmospheric Chemistry,Warp Field Theory,Plasmawave Analysis,Exoplanet Climatology,Astrology,Magnetosphere Modeling,Graviton Dynamics,Xyloprax Computation,Mineral Extraction,Synthetic Atmospheres,Quantum Fluids,Nanostructures Fabrication,Photonic Computing,Orbital Mechanics,Neutrino Engineering,Astrogeophysics,Genomic Engineering,Particle Isolation,Nuclear Synthesis,Xenorobotics Systems,Cartographic Topologies,Exotic Matter,Plasma Containment,Bioluminal Signals
0,8,9,9,10,9,10,8,9,8,9,9,9,8,9,8,8,8,9,10,9,9,9,10,9,8,10,8,9,9,10,8,10,10,8,8,7
1,9,7,10,10,10,9,9,9,8,10,10,7,9,9,8,9,8,7,9,9,9,9,8,8,8,9,10,8,8,8,8,7,8,9,8,9
2,6,6,6,9,6,8,6,6,7,6,6,6,7,6,7,7,6,7,8,7,6,7,7,7,6,7,6,6,6,7,6,7,6,7,6,8
3,8,7,8,10,8,8,8,9,9,8,8,7,9,8,8,9,6,7,9,7,7,9,9,8,9,10,9,8,8,9,8,7,8,9,8,9
4,7,6,7,9,7,7,7,7,7,7,8,6,7,6,6,6,6,6,8,7,8,8,7,6,6,8,8,6,6,6,6,7,6,7,6,6
5,7,8,9,8,10,8,8,7,6,8,8,8,6,10,8,9,8,8,8,10,8,9,6,9,8,8,9,7,7,8,7,7,9,9,8,8
6,6,6,7,8,8,7,7,7,6,8,8,6,6,7,6,7,6,6,7,7,7,7,6,7,7,8,8,6,6,7,6,6,6,7,6,7
7,8,7,8,6,8,8,9,8,8,6,6,7,8,8,8,8,7,8,6,8,7,8,6,7,6,6,9,7,7,8,6,6,6,8,7,8
8,8,8,7,9,10,9,6,8,7,6,6,8,8,9,8,8,6,8,9,8,7,9,7,8,8,8,8,8,8,10,6,7,8,7,7,8
9,8,7,8,10,10,8,8,8,8,8,9,7,8,8,9,9,7,7,8,8,7,9,7,8,9,10,10,8,8,9,7,7,8,9,8,9
10,6,6,6,7,8,7,6,6,7,6,6,6,6,7,6,7,6,6,8,7,6,8,6,6,6,7,7,6,6,8,6,6,7,6,6,6
11,8,8,9,8,10,8,8,8,7,7,8,8,8,9,8,8,8,8,8,9,8,10,6,9,8,8,9,8,8,10,6,6,8,9,7,9
12,6,6,7,7,8,6,7,7,6,8,7,6,7,6,7,7,6,6,6,7,6,7,7,7,7,8,8,6,6,7,6,7,7,7,6,6
13,7,6,6,8,7,7,6,6,7,7,8,6,7,6,8,9,6,6,6,6,6,7,7,7,8,9,8,6,6,7,7,7,7,8,7,7
14,6,8,9,7,9,8,8,7,7,9,9,8,6,8,7,7,8,8,9,9,9,8,6,8,6,7,8,8,8,8,6,8,8,8,7,7
15,7,7,7,9,7,8,8,8,8,9,9,7,9,7,8,8,6,7,8,7,7,7,9,8,9,10,9,7,7,8,8,9,8,9,8,7
16,7,6,7,6,7,9,6,7,8,7,7,6,6,6,6,6,6,7,6,6,7,8,6,6,6,7,6,7,7,7,6,6,7,6,6,6
17,7,7,8,9,8,7,9,8,8,10,10,7,7,8,9,8,7,7,8,8,8,8,10,8,8,10,9,7,7,6,8,8,8,9,9,7
18,7,6,6,9,6,6,7,7,8,8,8,6,6,6,6,6,7,6,7,6,6,6,8,6,7,8,8,6,6,6,6,7,6,7,6,6
19,6,6,7,8,7,6,7,6,6,6,6,6,8,6,7,7,6,6,6,7,6,7,7,6,8,8,7,6,6,8,6,6,7,7,6,7
20,7,7,7,8,7,7,9,7,7,10,9,7,6,8,8,8,7,7,8,8,8,7,9,8,8,9,9,7,7,7,8,8,8,9,8,7
21,7,6,7,9,9,8,6,7,6,6,6,6,8,8,7,8,6,7,8,7,6,8,7,7,8,8,8,7,7,9,6,7,8,7,6,8
22,6,8,7,8,6,7,8,8,7,9,9,8,6,7,8,7,6,7,9,7,7,7,10,7,8,9,7,6,6,6,8,9,7,8,8,6
23,6,7,8,7,8,7,8,7,6,9,9,7,6,8,6,7,7,7,9,8,8,7,7,7,6,7,8,7,7,6,7,8,8,8,7,6
24,9,6,6,8,7,6,7,6,6,7,7,6,6,6,6,6,6,6,7,6,6,6,7,6,6,7,6,6,6,6,6,6,6,7,6,6
25,8,7,8,9,10,9,7,8,7,8,7,7,8,9,7,8,7,7,7,8,7,9,6,8,9,8,9,7,7,9,6,6,7,8,6,9
26,7,7,7,9,8,9,7,8,8,7,6,7,8,8,7,8,6,8,9,7,7,8,7,7,7,8,7,7,7,9,7,8,8,6,6,7
27,6,7,8,7,7,8,7,7,6,7,7,7,6,7,6,6,7,7,9,8,8,7,6,6,6,7,7,7,7,7,6,6,7,7,6,6
28,6,6,6,6,6,6,6,6,6,7,7,6,6,6,6,6,6,6,7,6,6,6,6,6,7,6,6,6,6,6,6,6,6,6,6,7
29,6,7,7,7,7,6,7,6,6,7,8,7,6,7,7,7,6,7,7,7,6,7,7,7,6,7,7,6,6,7,6,7,7,8,6,6
30,7,6,6,7,8,6,8,7,6,8,9,6,7,6,8,8,6,6,6,8,6,7,7,7,7,9,8,6,6,7,7,6,6,9,7,8
31,8,6,6,6,7,6,6,6,8,6,7,6,9,6,6,6,6,8,6,6,7,6,6,6,6,7,7,8,8,6,8,8,6,7,7,9
32,6,6,6,8,6,7,6,6,7,6,6,6,7,6,6,6,8,6,8,9,6,7,7,9,7,7,6,6,6,7,6,6,6,6,8,6
33,6,7,8,7,8,7,7,6,7,7,7,7,6,7,8,7,6,6,7,8,7,7,6,7,6,7,7,6,6,6,6,7,6,7,6,6
34,7,8,7,9,8,9,8,8,8,9,8,8,8,8,7,8,7,8,9,8,8,9,9,8,8,8,8,7,7,8,8,8,8,7,7,7
35,6,6,7,8,6,7,7,6,6,7,7,6,6,6,6,6,6,7,8,6,6,6,8,6,7,7,6,6,6,6,7,7,7,7,7,7
36,7,8,9,8,9,9,8,8,8,8,8,8,7,8,7,7,8,8,10,8,8,9,8,8,6,8,7,8,8,8,7,8,8,7,7,6
37,7,8,6,8,9,8,6,7,6,6,6,8,7,9,8,8,6,7,9,8,7,9,6,8,7,7,7,7,7,10,6,6,9,7,7,8
38,7,8,9,8,9,8,8,8,7,8,8,8,7,9,7,7,8,8,9,9,10,9,7,8,6,7,8,8,8,9,6,7,8,8,7,7
39,6,9,7,7,8,7,7,7,6,7,8,9,6,8,8,8,7,7,8,8,7,8,7,8,7,8,8,7,7,7,7,8,8,8,7,7
40,9,10,9,10,9,10,8,8,9,8,7,10,8,10,8,8,8,9,10,8,8,10,8,8,8,9,8,9,9,10,8,9,9,7,7,7
41,8,6,7,9,6,8,6,8,8,7,7,6,8,7,6,6,7,7,9,6,7,8,8,6,7,8,7,7,7,8,7,8,7,6,6,6
42,8,7,7,8,8,8,6,7,7,10,6,7,8,8,7,8,7,8,9,6,7,9,6,7,7,8,7,7,7,10,8,6,8,6,8,8
43,7,7,7,9,8,8,8,7,6,8,8,7,7,8,6,7,6,7,9,6,6,8,6,6,6,7,6,7,7,9,6,7,7,6,6,6
44,9,8,8,10,10,9,7,8,8,6,6,8,8,9,7,8,7,9,9,8,8,9,6,8,8,8,8,8,8,10,6,6,9,7,6,8
45,7,6,6,6,6,6,6,6,7,7,7,6,7,6,7,6,6,6,7,6,6,6,7,6,7,7,6,6,6,6,6,6,6,6,6,6
46,7,8,9,7,9,7,8,7,6,8,9,8,6,8,8,8,7,7,8,9,8,7,6,9,7,8,9,7,7,8,7,7,8,8,7,8
47,7,9,9,9,8,9,8,8,8,9,8,9,7,8,7,7,8,9,10,9,9,9,8,7,7,8,7,8,8,8,8,9,9,7,8,6
48,8,6,6,6,7,8,6,7,7,6,6,6,7,6,6,6,6,7,7,6,7,6,6,6,7,6,8,8,8,6,6,7,6,6,6,8
49,6,7,6,8,6,7,7,7,7,8,8,7,8,7,8,8,6,7,8,6,6,7,9,7,9,9,8,6,6,7,8,8,8,8,8,6
50,6,7,8,7,8,7,7,6,6,6,7,7,6,8,6,7,7,7,8,8,8,8,8,7,6,6,7,7,7,8,8,6,7,7,6,6
51,6,7,6,7,7,6,6,6,8,7,7,7,6,7,7,8,6,7,8,7,6,7,7,7,7,7,7,6,6,7,7,7,7,8,6,6
52,6,7,7,8,9,8,6,6,6,6,6,7,7,8,7,7,6,7,8,7,7,8,6,7,7,7,8,7,7,9,7,6,8,7,6,7
53,7,6,8,8,8,8,6,7,7,6,6,6,6,7,8,7,6,7,8,7,8,8,6,6,6,7,7,7,7,7,6,6,7,6,6,7
54,7,7,6,8,8,6,8,7,6,8,8,7,7,7,8,8,6,6,6,7,6,7,7,8,8,9,8,6,6,7,7,7,7,9,7,7
55,8,8,9,9,8,9,7,7,8,7,7,8,7,9,6,6,7,8,9,9,8,9,6,7,6,6,8,8,8,8,6,6,8,6,6,7
56,7,6,8,9,7,8,8,8,8,8,8,6,7,8,7,7,6,7,8,7,7,7,7,7,7,8,8,7,7,6,7,7,7,8,7,6
